product;sell_price;purchase_price;weight;unit_weight;length;width;height;category_id;stock;;;;;
NESTLE BEAR BRAND 189 ML CAN;9.800;8.900;189;gr;;;10;4;194;;;;;
INDOMIE AYAM BAWANG 69GR;2.800;2.320;69;gr;11.5;16;;6;89;;;;;
INDOMIE GORENG SPC 85GR;3.000;2.470;85;gr;11.5;16;;6;89;;;;;
YOU C1000 ORG 140ML BTL;8.700;6.000;140;gr;;;13;4;89;;;;;
Sedaap mie korean s . 77 gr;2.600;2.450;77;gr;10;13;;6;70;;;;;
DK KC KORO R.LAUT 18GR;1.000;860;18;gr;11;10;;6;60;;;;;
NEXTAR CHOCO D 106GR;8.200;6.800;106;gr;5;7;17;6;57;;;;;
Sedaap mie korean spcy ckn 87 gr;2.600;2.450;87;gr;10;13;;6;53;;;;;
ROSE BRAND GULA PTH 1 KG;14.500;14.000;1;kg;15;24;;3;50;;;;;
DICHA SOSBAK 12 SPR;25.000;21.850;;gr;;;;1;47;;;;;
AQUA 600 ML;3.000;1.812;600;gr;;;23;4;45;;;;;
INDOCAFE C.MIX 3IN1 20GR;8.100;7.320;;gr;;;;4;41;;;;;
RAJAWALI SOSBAK ISI 7;25.000;22.310;;gr;;;;1;34;;;;;
NESCAFE COFFEE CREAM 180ML;4.700;4.000;180;gr;3.5;5;11;4;32;;;;;
RAJAWALI SOSBAK ISI 12;25.000;22.310;500;gr;29;19;;1;31;;;;;
DICHA NUGGET AYAM 250 GR;13.000;9.750;250;gr;22;;17;1;30;;;;;
KAPAL API SPC MIX 24GR 6x24;7.600;6.990;144;gr;9;12;;4;30;;;;;
ULTRA MILK PLAIN 250ML;5.200;4.750;250;gr;4;5.5;13;4;29;;;;;
CONCERTO MIDI S.CHUNK 80ML;5.000;3.637;80;gr;5;;14;6;28;;;;;
GERY SALUUT MALKIST KEJU 110GR;6.700;5.800;110;gr;7;19;8;6;27;;;;;
GOOD DAY TIRAMISU B COFFEE 250ML BTL;5.500;4.900;250;gr;;;14;4;26;;;;;
CONCERTO C.PASSION 110ML;8.500;6.182;110;gr;6;;15;6;25;;;;;
DE ROTI DONUT KENTANG ORI ISI 10;19.500;17.500;;gr;35;24;;1;25;;;;;
NESCAFE CARAMEL MACCH 220ML CAN;6.400;4.800;220;gr;;;13;4;25;;;;;
HYDRO COCO ORI 250 ML;6.600;6.000;250;gr;4.5;;13;4;24;;;;;
NESCAFE CAPPUCCINO 220ML CAN;6.400;4.800;220;gr;;;13;4;24;;;;;
CONCERTO MIDI C.CREAMY 80ML;5.000;3.637;80;gr;5;;14;6;23;;;;;
GO MANGO 70 ML;5.000;4.150;70;gr;;19.5;2.5;6;23;;;;;
BETTER VANILLA 120GR;8.200;7.400;;gr;;;;6;20;;;;;
ROSEBRAND GULA PUTIH PREMIUM 1KG;14.500;14.000;1 kg;kg;14;23;;3;20;;;;;
WANOJA COFFEE ARABIKA KAMOJANG BTL;51.800;45.000;;gr;;;10;2;20;;;;;
DELMONTE EKS HOT 265ML BTL;10.700;9.700;265;gr;5;;20;6;19;;;;;
NESCAFE LATTE 220 ML CAN;6.400;5.800;;gr;;;;4;18;;;;;
DJI SAM SOE S.PREMIUM 12'S;20.200;18.300;;gr;1.5;6;9;8;17;;;;;
GREENSOFT FAC.TISSUE 200S;7.300;6.600;;gr;;;;5;17;;;;;
TERIGU KITA 1 KG;9.000;8.600;1 kg;gr;19;28.5;;3;16;;;;;
CONCERTO SUNDAE COKELAT;6.000;5.000;110;gr;;;8;6;15;;;;;
CHAMP BURGER 315GR;19.800;16.000;315;gr;24;;13;1;14;;;;;
NESCAFE ORIGINAL 240ML CAN;9.500;7.500;240;gr;;;13;4;14;;;;;
SOSRO TEH CELUP PREM 1x25'S;10.100;10.000;;gr;;;;4;14;;;;;
BAYGON CHERRY BLOSSOM 600ML;41.000;38.900;600;gr;;;29;5;13;;;;;
DAGING SAPI 1KG;120.000;110.000;1;kg;7;10;18;3;13;;;;;
DE ROTI R.BURGER ISI 6;17.500;12.125;;gr;20;;28;1;13;;;;;
EUNAK BERAS PREMIUM 5 KG;63.000;60.000;5 kg;kg;30;45;;3;13;;;;;
DELMONTE S.TOMAT 140ML BTL;6.300;5.400;140;gr;4;;17;6;12;;;;;
FRESTEA TEH MELATI 350ML;2.900;2.625;;gr;;;;4;12;;;;;
