sku;name;;sell_price;purchase_price;unit_weight;length;width;height;category_id
8991002101630;ABC KOPI SACH 31GR;6;1500;1135;gr;0;0;0;1
711844120037;ABC SAMBAL ASLI 135ML BTL;36;7400;6660;gr;0;0;0;1
711844162402;ABC SARI K.HIJAU 200ML;0;3600;3200;gr;0;0;0;1
8997216870096;ABON SAPI CAP ASLI 250GR;6;85000;80000;g;0;18;23;2
8992772586016;ADEM SARI CAN SENSA 320ML;47;7000;6650;gr;0;0;0;1
8992770011169;AJINOMOTO 116GR;9;5200;4700;gr;0;0;0;1
200002;ALLANA DAGING FROZ 1KG;0;90000;80000;gr;0;0;0;1
8,9908E+12;ALPENLIEBE ECLAIRS BAG 126GR;2;13200;12600;gr;0;0;0;1
8991115004019;ALPENLIEBE STRAW BAG 112.5GR;2;7800;7400;gr;0;0;0;1
4902430516877;AMBI PUR AQUA 7.5ML SET;0;54500;47600;gr;0;0;0;1
4902430377379;AMBI PUR LAVEND REFF 2ML;5;40200;35000;gr;0;0;0;1
400037;ANNAFI KERIPIK JAMUR ORI 65GR;2;15600;13000;gr;0;14;20;2
400025;ANNAFI KERIPIK JAMUR PEDAS 65 GR;0;15600;13000;gr;0;0;0;1
400026;ANNAFI KERIPIK JAMUR S.PANGGANG 65 GR;2;15600;13000;gr;0;14;20;2
8886008101091;AQUA 1.5 L;1;5300;4800;gr;0;0;0;1
8886008101336;AQUA 330ML;16;2300;1775;gr;0;0;16.5;4
8886008101053;AQUA 600 ML;29;3000;2450;gr;0;0;23;4
38886008101047;AQUA GELAS 240ML 1DUS;1;45000;29100;gr;0;0;0;1
8991123160042;ARKA PREM BEEF SLICE 500GR;0;70300;67000;gr;0;0;0;1
8886001038028;ASTOR CHOCOLATE WAF.STIK 330GR;3;36500;28300;gr;0;0;18;6
8992727006910;ATTACK FRESH UP D.LILAC 680ML;2;18800;17900;gr;0;0;0;1
8992727006880;ATTACK FRESH UP S.BLOSSOM 680ML;0;18800;17900;gr;0;0;0;1
8992735248654;BAMBOE TOMYUM 60GR;34;9500;8500;gr;0;0;0;1
10009;BANDUNG REMSEU BATAGOR KERING;0;15000;12000;gr;0;0;0;1
10008;BANDUNG REMSEU K TEMPE SAGU;0;15000;12000;gr;0;0;0;1
10002;BANDUNG REMSEU KRIPIK CIRENG BAWANG;0;15000;12000;gr;0;0;0;1
10004;BANDUNG REMSEU KRIPIK KENTANG;0;20000;16000;gr;0;0;0;1
10010;BANDUNG REMSEU KRIPIK PIS MANIS;0;16500;13000;gr;0;0;0;1
10007;BANDUNG REMSEU KRIPIK PISANG;0;16500;13000;gr;0;0;0;1
10001;BANDUNG REMSEU MAKARONI ORI;0;15000;12000;gr;0;0;0;1
10011;BANDUNG REMSEU OPAK KETAN;0;15000;12000;gr;0;0;0;1
10006;BANDUNG REMSEU OPAK SINGKONG ORI;2;16500;13000;gr;0;19.5;25;2
10005;BANDUNG REMSEU OPAK SINGKONG PEDAS;0;16500;13000;gr;0;0;0;1
10003;BANDUNG REMSEU TELOR GABUS;0;15000;12000;gr;0;0;0;1
8,99012E+12;BANGO KECAP MANIS 135ML BTL;33;10600;8800;gr;0;0;0;1
