product;sell_price;purchase_price;weight;unit_weight;length;width;height;category_id;stock
NESTLE BEAR BRAND 189 ML CAN;9800;8900;189;gr;;;10;4;194
INDOMIE AYAM BAWANG 69GR;2800;2320;69;gr;11.5;16;;6;89
INDOMIE GORENG SPC 85GR;3000;2470;85;gr;11.5;16;;6;89
YOU C1000 ORG 140ML BTL;8700;6000;140;gr;;;13;4;89
Sedaap mie korean s . 77 gr;2600;2450;77;gr;10;13;;6;70
DK KC KORO R.LAUT 18GR;1000;860;18;gr;11;10;;6;60
NEXTAR CHOCO D 106GR;8200;6800;106;gr;5;7;17;6;57
Sedaap mie korean spcy ckn 87 gr;2600;2450;87;gr;10;13;;6;53
ROSE BRAND GULA PTH 1 KG;14500;14000;1;kg;15;24;;3;50
DICHA SOSBAK 12 SPR;25000;21850;;gr;;;;1;47
AQUA 600 ML;3000;1812;600;gr;;;23;4;45
INDOCAFE C.MIX 3IN1 20GR;8100;7320;;gr;;;;4;41
RAJAWALI SOSBAK ISI 7;25000;22310;;gr;;;;1;34
NESCAFE COFFEE CREAM 180ML;4700;4000;180;gr;3.5;5;11;4;32
RAJAWALI SOSBAK ISI 12;25000;22310;500;gr;29;19;;1;31
DICHA NUGGET AYAM 250 GR;13000;9750;250;gr;22;;17;1;30
KAPAL API SPC MIX 24GR 6x24;7600;6990;144;gr;9;12;;4;30
ULTRA MILK PLAIN 250ML;5200;4750;250;gr;4;5.5;13;4;29
CONCERTO MIDI S.CHUNK 80ML;5000;3637;80;gr;5;;14;6;28
GERY SALUUT MALKIST KEJU 110GR;6700;5800;110;gr;7;19;8;6;27
GOOD DAY TIRAMISU B COFFEE 250ML BTL;5500;4900;250;gr;;;14;4;26
CONCERTO C.PASSION 110ML;8500;6182;110;gr;6;;15;6;25
DE ROTI DONUT KENTANG ORI ISI 10;19500;17500;;gr;35;24;;1;25
NESCAFE CARAMEL MACCH 220ML CAN;6400;4800;220;gr;;;13;4;25
HYDRO COCO ORI 250 ML;6600;6000;250;gr;4.5;;13;4;24
NESCAFE CAPPUCCINO 220ML CAN;6400;4800;220;gr;;;13;4;24
CONCERTO MIDI C.CREAMY 80ML;5000;3637;80;gr;5;;14;6;23
GO MANGO 70 ML;5000;4150;70;gr;;19.5;2.5;6;23
BETTER VANILLA 120GR;8200;7400;;gr;;;;6;20
ROSEBRAND GULA PUTIH PREMIUM 1KG;14500;14000;1 kg;kg;14;23;;3;20
WANOJA COFFEE ARABIKA KAMOJANG BTL;51800;45000;;gr;;;10;2;20
DELMONTE EKS HOT 265ML BTL;10700;9700;265;gr;5;;20;6;19
NESCAFE LATTE 220 ML CAN;6400;5800;;gr;;;;4;18
DJI SAM SOE S.PREMIUM 12'S;20200;18300;;gr;1.5;6;9;8;17
GREENSOFT FAC.TISSUE 200S;7300;6600;;gr;;;;5;17
TERIGU KITA 1 KG;9000;8600;1 kg;gr;19;28.5;;3;16
CONCERTO SUNDAE COKELAT;6000;5000;110;gr;;;8;6;15
CHAMP BURGER 315GR;19800;16000;315;gr;24;;13;1;14
NESCAFE ORIGINAL 240ML CAN;9500;7500;240;gr;;;13;4;14
SOSRO TEH CELUP PREM 1x25'S;10100;10000;;gr;;;;4;14
BAYGON CHERRY BLOSSOM 600ML;41000;38900;600;gr;;;29;5;13
DAGING SAPI 1KG;120000;110000;1;kg;7;10;18;3;13
DE ROTI R.BURGER ISI 6;17500;12125;;gr;20;;28;1;13
EUNAK BERAS PREMIUM 5 KG;63000;60000;5 kg;kg;30;45;;3;13
DELMONTE S.TOMAT 140ML BTL;6300;5400;140;gr;4;;17;6;12
FRESTEA TEH MELATI 350ML;2900;2625;;gr;;;;4;12
HYDRO COCO 1 LITER;22700;20700;;gr;;;;4;12
NESCAFE LATTE 240 ML CAN;9500;7500;240;gr;;;13;4;12
RAJAWALI MINIPAO ISI 32;16000;13500;;gr;21;27;;1;12
Royco r. ayam 230 gr;8900;8050;230;gr;12.5;19;;3;12
Royco r. sapi 230 gr;8900;8050;230;gr;12.5;19;;3;12
SAORI SAUS TIRAM 275ML BTL;22000;18700;275;gr;;;19.5;3;12
Sedaap cup baso s . 77 gr;4200;3950;;gr;;;;6;12
